"crypto_name","count(trade_date)"
"Bitpanda Ecosystem Token","364"
"Bitpayer Token","85"
"Bitradio","1178"
"Bitrue Coin","445"
"Bitscoin","150"
"Bitsdaq","477"
"Bitsonic","85"
"Bitspace","281"
"Bitstar","1586"
"Bitsten Token","168"
"Bitsum.money","848"
"Bitswift","258"
"Bittwatt","825"
"Bitvolt","1136"
"Bityuan","78"
"Bitzeny","1561"
"Blacer Coin","247"
"Black Diamond Rating","76"
"BlackCoin","1751"
"BlackPearl Token","85"
"Blackmoon","1117"
"Blacknet","166"
"Blakecoin","1686"
"Blaze Network","56"
"BlazerCoin","1192"
"BlitzPick","923"
"Blocery","76"
"Block Array","709"
"Block-Chain.com","702"
"Block-Logic","676"
"BlockCAT","1051"
"BlockCDN","1018"
"BlockMason Credit Protocol","1090"
"BlockMesh","864"
"BlockNoteX","144"
"BlockStamp","500"
"Blockburn","434"
"Blockchain Certified Data Token","614"
"Blockchain Exchange Alliance","76"
"Blockchain Quotations Index Token","755"
"Blockcloud","532"
"Blockium","52"
"Blocklancer","915"
"Blockmason Link","448"
"Blocknet","1747"
"Blocknode","445"
"Blockparty (BOXX Token)","584"
"Blockpass","768"
"Blockstack","353"
"Blocktix","1150"
"Blocktrade Token","789"
"Blocs","29"
"Blood","86"
"Bloom","999"
"Bloomzed Loyalty Club Ticket","227"
"Blox","1163"
"Blue Baikal","146"
"Blue Protocol","1077"
"Blue Whale EXchange","515"
"BlueCoin","1538"
"Bluekey","132"
"Blur","188"
"Bluzelle","982"
"BnkToTheFuture","935"
"BoatPilot Token","565"
"Bob's Repair","822"
"Bolenum","748"
"Bolivarcoin","1709"
"Boltt Coin","542"
"BonFi","5"
"Bone","84"
"BonezYard","14"
"Bonorum","224"
"Bonpay","1035"
"BonusCloud","388"
"BooBank","5"
"Boogle","223"
"Boolberry","1671"
"BoostCoin","1459"
"Boosted Finance","53"
"BoringDAO","3"
"Botton","160"
"Bottos","1007"
"Bounce Token","77"
"Bounty0x","1020"
"BoutsPro","879"
